,Ranking,Titulo,Año,Duración,Rating
0,1,Cadena perpetua,1994,2h 22m,9.3
1,2,El padrino,1972,2h 55m,9.2
2,3,El caballero oscuro,2008,2h 32m,9.0
3,4,El padrino parte II,1974,3h 22m,9.0
4,5,12 hombres sin piedad,1957,1h 36m,9.0
5,6,El señor de los anillos: El retorno del rey,2003,3h 21m,9.0
6,7,La lista de Schindler,1993,3h 15m,9.0
7,8,Pulp Fiction,1994,2h 34m,8.9
8,9,El señor de los anillos: La comunidad del anillo,2001,2h 58m,8.9
9,10,"El bueno, el feo y el malo",1966,3h 2m,8.8
10,11,Forrest Gump,1994,2h 22m,8.8
11,12,El señor de los anillos: Las dos torres,2002,2h 59m,8.8
12,13,El club de la lucha,1999,2h 19m,8.8
13,14,Origen,2010,2h 28m,8.8
14,15,El imperio contraataca,1980,2h 4m,8.7
15,16,Matrix,1999,2h 16m,8.7
16,17,Uno de los nuestros,1990,2h 25m,8.7
17,18,Alguien voló sobre el nido del cuco,1975,2h 13m,8.7
18,19,Interstellar,2014,2h 49m,8.7
19,20,Seven,1995,2h 7m,8.6
20,21,Qué bello es vivir,1946,2h 10m,8.6
21,22,Los siete samuráis,1954,3h 27m,8.6
22,23,El silencio de los corderos,1991,1h 58m,8.6
23,24,Salvar al soldado Ryan,1998,2h 49m,8.6
24,25,Ciudad de Dios,2002,2h 10m,8.6
